open_library_id,title,authors,first_publish_year,edition_count,primary_language,language_count,has_full_text
OL10016368W,Kants Ubergangskonzeption im Opus Postumum,Dina Emundts,2004.0,1,ger,1,False
OL10016377W,Von Gnathon Zu Saturio,Andrea Antonsen-Resch,2005.0,3,ger,1,False
OL10016501W,Die Deutsche Frage in Wissenschaft und Unterricht,Horst Müller,1981.0,1,ger,1,False
OL1001674W,A construção da ordem,José Murilo de Carvalho,1980.0,1,por,1,False
OL1001676W,A formação das almas,José Murilo de Carvalho,1990.0,4,eng,3,True
OL1001731W,Ideologías de la burguesía industrial en sociedades dependientes (Argentina y Brasil),Fernando Henrique Cardoso,1971.0,1,spa,1,False
OL1001746W,Politique et développement dans les sociétés dépendantes,Fernando Henrique Cardoso,1971.0,1,fre,1,False
OL1001747W,Política e desenvolvimento em sociedades dependentes,Fernando Henrique Cardoso,1971.0,1,por,1,False
OL100174W,Digging to the center of the earth,Michael Anthony Steele,1999.0,2,eng,1,True
OL100178W,Winx club,Michael Anthony Steele,2005.0,2,eng,1,True
OL10018293W,Die Methode der wissenschaftlichen Revolution,Michael Jäger,1985.0,1,ger,1,False
OL10018294W,Die Ästhetik als Antwort auf das kopernikanische Weltbild,Michael Jäger,1984.0,1,ger,1,False
OL1001849W,O país das alianças,Marcel Bursztyn,1990.0,1,por,1,False
OL10018691W,"KOMPENDIUM DER GRUNDLAGENSTATISTIK FÜR SOZIOLOGEN, PÄDAGOGEN, PSYCHOLOGEN, VOLKSWIRTE",Hans-Werner Müller,1979.0,1,ger,1,False
OL1001891W,Sobre o modo capitalista de pensar,José de Souza Martins,1978.0,1,por,1,False
OL10018934W,"Berner Reihe philosophischer Studien, Band 30: Methodologie der qualitativen Sozialforschung: eine Kritik",Heiko Holweg,2005.0,1,ger,1,False
OL10020055W,Wissenschaft als Ideologie,Alexander Pechmann,1998.0,1,ger,1,False
OL10020139W,Early Modern Humans at the Moravian Gate,Maria Teschler-Nicola,2006.0,3,eng,1,True
OL10020183W,Pathologie in Fallstudien,Roland Sedivy,2006.0,2,ger,1,False
OL10020191W,Das Geheimnis des Kiver,Leonhard Kubizek,2006.0,1,ger,1,False
OL10020212W,Auslieferung und Europäischer Haftbefehl,Verena Murschetz,2007.0,1,ger,1,False
OL10020219W,Gerechtigkeit als Zufall,Fabian Steinhauer,2007.0,2,ger,1,False
OL10020316W,Rotating Fluids in Geophysical and Industrial Applications,E.J. Hopfinger,2000.0,1,eng,1,False
OL10020317W,Informatics Education - The Bridge between Using and Understanding Computers,Roland Mittermeir,2006.0,2,eng,1,False
OL10020318W,Shifting Paradigms in Software Engineering,Roland Mittermeir,1992.0,3,eng,1,False
OL10020394W,Empirische Herrschaftstheorie,Norbert Müller,1979.0,1,ger,1,False
OL10020399W,"Psychiatry, Psychoimmunology, and Viruses (Key Topics in Brain Research)",Norbert Müller,1999.0,1,eng,1,True
OL10020411W,"Design, Specification And Verification Of Interactive Systems '99 (Eurographics)",David J Duke,1999.0,1,eng,1,False
OL10020421W,Herrschaft in der modernen Gesellschaft,Michael Bruch,2000.0,2,ger,1,False
OL10020849W,New Public Management,Donatella Pulitano,2000.0,1,ger,3,False
OL10020897W,Toleranz ohne Grenzen? Globale Realitäten und die politische Kultur der Schweiz,Katja Gentinetta,2002.0,1,ger,1,False
OL10020967W,Mediengeschichte vor und nach Gutenberg,Horst Wenzel,2007.0,1,ger,1,False
OL10021598W,Anti-Virus Für Dummies,G. Wirth,2004.0,2,ger,1,True
OL1002183W,Política,João Ubaldo Ribeiro,1988.0,1,por,1,False
OL10021956W,Die Neue Rechte und die Berliner Republik,Friedemann Schmidt,2001.0,2,ger,1,False
OL1002227W,Ciência e tecnologia,Roberto Amaral,2003.0,3,por,1,False
OL1002228W,Ciência e tecnologia a serviço do progresso e da inclusão social,Roberto Amaral,2003.0,1,por,1,False
OL10022292W,Ist sozialistischer Kapitalismus möglich?,Klaus Blessing,2003.0,1,Unknown,0,False
OL10022377W,Der Einfluss der Kirche auf die moskowitische Staatsidee,Hans-Dieter Döpmann,1967.0,2,ger,1,False
OL10022834W,Learning with Recurrent Neural Networks,Barbara Hammer,2000.0,2,eng,1,False
OL10023287M,"Kew Bulletin, No 2, 1999",Unknown,1999.0,1,eng,1,False
OL10023288M,"Kew Bulletin, No 3, 1999",Unknown,1999.0,1,eng,1,False
OL10023325M,Nafe in Practice (An HMI Survey),Unknown,1987.0,1,Unknown,0,False
OL10023464M,The Development and Learning of Science,Unknown,1994.0,1,Unknown,0,False
OL10023465M,Communicating in Science Lessons,Unknown,1994.0,1,Unknown,0,False
OL10023466M,Science Practical Work,Unknown,1994.0,1,Unknown,0,False
OL10023467M,Valuing the Individual in Science,Unknown,1994.0,1,Unknown,0,False
OL10023468M,Science and the Whole Curriculum,Unknown,1994.0,1,Unknown,0,False
OL10023500M,The National Curriculum,Unknown,1996.0,1,Unknown,0,False
OL10023763W,Fremdheit und Integration,Erol Yildiz,1999.0,2,ger,1,False
OL1002382W,A espinha dorsal da memória,Braulio Tavares,1989.0,2,por,1,False
OL10024109W,Naturwissenschaft heute,Hans Walter Bähr,1965.0,1,ger,1,False
OL10024223W,Der Zweifel des Anarchisten,Peter Rinderle,2005.0,1,ger,1,False
OL10024224W,Der Zweifel des Anarchisten,Peter Rinderle,,1,ger,1,False
OL10024226W,Politische Vernunft,Peter Rinderle,1997.0,1,ger,1,False
OL10024259W,Wissenschaftliche Politik,Dieter Oberndörfer,1966.0,1,ger,1,False
